table_name,constraint_name,columns,referenced_table,referenced_columns,on_delete,on_update,raw_definition,source_module,target_module
cmms_pur_dtl,FK_CMMS_PUR_DTL_CMMS_PUR_MST,PUD_NO,cmms_pur_mst,PUM_NO,,,ADD CONSTRAINT `FK_CMMS_PUR_DTL_CMMS_PUR_MST` FOREIGN KEY (`PUD_NO`) REFERENCES `cmms_pur_mst` (`PUM_NO`),Procurement / AMC / Inventory,Procurement / AMC / Inventory
cmms_schedule_eqip_dtl,FK_CMMS_SCHEDULE_EQIP_DTL_CMMS_EQIP_MST,SC_EQM_TYPE|SC_EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_SCHEDULE_EQIP_DTL_CMMS_EQIP_MST` FOREIGN KEY (`SC_EQM_TYPE`,`SC_EQM_ID`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Equipment / Instruments,Equipment / Instruments
cmms_schedule_eqip_dtl,FK_CMMS_SCHEDULE_EQIP_DTL_CMMS_SCHEDULE_MST,SC_PLAN_ID|SC_TYPE,cmms_schedule_mst,SC_PLAN_ID|SC_TYPE,,,"ADD CONSTRAINT `FK_CMMS_SCHEDULE_EQIP_DTL_CMMS_SCHEDULE_MST` FOREIGN KEY (`SC_PLAN_ID`,`SC_TYPE`) REFERENCES `cmms_schedule_mst` (`SC_PLAN_ID`, `SC_TYPE`)",Equipment / Instruments,Scheduling / PM-CAL
cmms_schedule_mst,FK_CMMS_SCHEDULE_MST_CMMS_SECTION_MST,SC_SM_ID,cmms_section_mst,SM_ID,,,ADD CONSTRAINT `FK_CMMS_SCHEDULE_MST_CMMS_SECTION_MST` FOREIGN KEY (`SC_SM_ID`) REFERENCES `cmms_section_mst` (`SM_ID`),Scheduling / PM-CAL,Organization / Employee
cmms_supplier_mfr,FK_CMMS_SUPPLIER_MFR_CMMS_CONT_MST,SUP_ID,cmms_cont_mst,CMM_CONT_ID,,,ADD CONSTRAINT `FK_CMMS_SUPPLIER_MFR_CMMS_CONT_MST` FOREIGN KEY (`SUP_ID`) REFERENCES `cmms_cont_mst` (`CMM_CONT_ID`),Vendor / Manufacturer,Vendor / Manufacturer
cmms_supplier_mfr,FK_CMMS_SUPPLIER_MFR_CMMS_CONT_MST1,MFR_ID,cmms_cont_mst,CMM_CONT_ID,,,ADD CONSTRAINT `FK_CMMS_SUPPLIER_MFR_CMMS_CONT_MST1` FOREIGN KEY (`MFR_ID`) REFERENCES `cmms_cont_mst` (`CMM_CONT_ID`),Vendor / Manufacturer,Vendor / Manufacturer
cmms_supplier_mfr,FK_CMMS_SUPPLIER_MFR_CMMS_PRODUCT_MST,MFR_PROD_ID,cmms_product_mst,PROD_ID,,,ADD CONSTRAINT `FK_CMMS_SUPPLIER_MFR_CMMS_PRODUCT_MST` FOREIGN KEY (`MFR_PROD_ID`) REFERENCES `cmms_product_mst` (`PROD_ID`),Vendor / Manufacturer,Master Data / Lookup
equipment_status_history,fk_esh_actor,transitioned_by,cmms_emp_mst,EMM_ID,,,ADD CONSTRAINT `fk_esh_actor` FOREIGN KEY (`transitioned_by`) REFERENCES `cmms_emp_mst` (`EMM_ID`),Equipment / Instruments,Organization / Employee
equipment_status_history,fk_esh_eqip,eqm_type|eqm_id,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `fk_esh_eqip` FOREIGN KEY (`eqm_type`,`eqm_id`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Equipment / Instruments,Equipment / Instruments
equipment_status_history,fk_esh_jc,related_job_card,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `fk_esh_jc` FOREIGN KEY (`related_job_card`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Equipment / Instruments,Job Cards
job_request_accessories,fk_jra_jr,jr_no,cmms_jobrequest_mst,JR_JOBREQUESTNO,CASCADE,,ADD CONSTRAINT `fk_jra_jr` FOREIGN KEY (`jr_no`) REFERENCES `cmms_jobrequest_mst` (`JR_JOBREQUESTNO`) ON DELETE CASCADE,Job Requests,Job Requests
job_request_status_history,fk_jrsh_actor,transitioned_by,cmms_emp_mst,EMM_ID,,,ADD CONSTRAINT `fk_jrsh_actor` FOREIGN KEY (`transitioned_by`) REFERENCES `cmms_emp_mst` (`EMM_ID`),Job Requests,Organization / Employee
job_request_status_history,fk_jrsh_jr,jr_no,cmms_jobrequest_mst,JR_JOBREQUESTNO,,,ADD CONSTRAINT `fk_jrsh_jr` FOREIGN KEY (`jr_no`) REFERENCES `cmms_jobrequest_mst` (`JR_JOBREQUESTNO`),Job Requests,Job Requests
refresh_tokens,fk_rt_user,user_id,users,user_id,CASCADE,,ADD CONSTRAINT `fk_rt_user` FOREIGN KEY (`user_id`) REFERENCES `users` (`user_id`) ON DELETE CASCADE,Auth & RBAC,Auth & RBAC
role_permissions,fk_rp_permission,permission_id,permissions,permission_id,CASCADE,,ADD CONSTRAINT `fk_rp_permission` FOREIGN KEY (`permission_id`) REFERENCES `permissions` (`permission_id`) ON DELETE CASCADE,Auth & RBAC,Auth & RBAC
role_permissions,fk_rp_role,role_id,roles,role_id,CASCADE,,ADD CONSTRAINT `fk_rp_role` FOREIGN KEY (`role_id`) REFERENCES `roles` (`role_id`) ON DELETE CASCADE,Auth & RBAC,Auth & RBAC
sections,fk_sections_department,department_id,departments,department_id,,,ADD CONSTRAINT `fk_sections_department` FOREIGN KEY (`department_id`) REFERENCES `departments` (`department_id`),Organization / Employee,Organization / Employee
sections,fk_sections_head_emp,head_employee_id,cmms_emp_mst,EMM_ID,,,ADD CONSTRAINT `fk_sections_head_emp` FOREIGN KEY (`head_employee_id`) REFERENCES `cmms_emp_mst` (`EMM_ID`),Organization / Employee,Organization / Employee
users,fk_users_employee,employee_id,cmms_emp_mst,EMM_ID,,,ADD CONSTRAINT `fk_users_employee` FOREIGN KEY (`employee_id`) REFERENCES `cmms_emp_mst` (`EMM_ID`),Auth & RBAC,Organization / Employee
users,fk_users_section,section_id,sections,section_id,,,ADD CONSTRAINT `fk_users_section` FOREIGN KEY (`section_id`) REFERENCES `sections` (`section_id`),Auth & RBAC,Organization / Employee
user_roles,fk_ur_role,role_id,roles,role_id,,,ADD CONSTRAINT `fk_ur_role` FOREIGN KEY (`role_id`) REFERENCES `roles` (`role_id`),Auth & RBAC,Auth & RBAC
user_roles,fk_ur_user,user_id,users,user_id,CASCADE,,ADD CONSTRAINT `fk_ur_user` FOREIGN KEY (`user_id`) REFERENCES `users` (`user_id`) ON DELETE CASCADE,Auth & RBAC,Auth & RBAC
_legacy_accessright_mst,FK_CMMS_ACCESSRIGHT_MST_CMMS_MODULE_MST,ACC_MOD_ID,_legacy_module_mst,MOD_ID,,,ADD CONSTRAINT `FK_CMMS_ACCESSRIGHT_MST_CMMS_MODULE_MST` FOREIGN KEY (`ACC_MOD_ID`) REFERENCES `_legacy_module_mst` (`MOD_ID`),Legacy / Isolated,Legacy / Isolated
_legacy_accessright_mst,FK_CMMS_ACCESSRIGHT_MST_CMMS_ROLE_MST,ACC_ROLE,_legacy_role_mst,ROLE_ID,,,ADD CONSTRAINT `FK_CMMS_ACCESSRIGHT_MST_CMMS_ROLE_MST` FOREIGN KEY (`ACC_ROLE`) REFERENCES `_legacy_role_mst` (`ROLE_ID`),Legacy / Isolated,Legacy / Isolated
_legacy_jobcard_insp_maint_dtl,FK_CMMS_JOBCARD_INSP_MAINT_DTL_CMMS_JOBCARD_MST,JMD_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_INSP_MAINT_DTL_CMMS_JOBCARD_MST` FOREIGN KEY (`JMD_JobCardNo`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Legacy / Isolated,Job Cards
_legacy_module_mst,FK_CMMS_MODULE_MST_CMMS_MODULE_MST,MOD_PARENT_ID,_legacy_module_mst,MOD_ID,,,ADD CONSTRAINT `FK_CMMS_MODULE_MST_CMMS_MODULE_MST` FOREIGN KEY (`MOD_PARENT_ID`) REFERENCES `_legacy_module_mst` (`MOD_ID`),Legacy / Isolated,Legacy / Isolated
_legacy_section_user_mst,FK_CMMS_SECTION_USER_MST_CMMS_ROLE_MST,SM_USER_ROLE,_legacy_role_mst,ROLE_ID,,,ADD CONSTRAINT `FK_CMMS_SECTION_USER_MST_CMMS_ROLE_MST` FOREIGN KEY (`SM_USER_ROLE`) REFERENCES `_legacy_role_mst` (`ROLE_ID`),Legacy / Isolated,Legacy / Isolated
_legacy_section_user_mst,FK_CMMS_SECTION_USER_MST_CMMS_SECTION_MST,SM_ID,cmms_section_mst,SM_ID,,,ADD CONSTRAINT `FK_CMMS_SECTION_USER_MST_CMMS_SECTION_MST` FOREIGN KEY (`SM_ID`) REFERENCES `cmms_section_mst` (`SM_ID`),Legacy / Isolated,Organization / Employee
