table_name,index_name,index_type,columns,non_unique,raw_definition,module_guess
cmms_inv_eqip_dtl,PRIMARY,PRIMARY,IVD_PARTNO|IVD_EQM_ID|IND_EQM_TYPE,NO,"ADD PRIMARY KEY (`IVD_PARTNO`,`IVD_EQM_ID`,`IND_EQM_TYPE`)",Equipment / Instruments
cmms_inv_eqip_dtl,FK_CMMS_INV_EQIP_DTL_CMMS_EQIP_MST,INDEX,IND_EQM_TYPE|IVD_EQM_ID,YES,"ADD KEY `FK_CMMS_INV_EQIP_DTL_CMMS_EQIP_MST` (`IND_EQM_TYPE`,`IVD_EQM_ID`)",Equipment / Instruments
cmms_inv_mst,PRIMARY,PRIMARY,INV_PARTNO,NO,ADD PRIMARY KEY (`INV_PARTNO`),Procurement / AMC / Inventory
cmms_inv_mst,FK_CMMS_INV_MST_CMMS_CONT_MST,INDEX,INV_MCODE,YES,ADD KEY `FK_CMMS_INV_MST_CMMS_CONT_MST` (`INV_MCODE`),Procurement / AMC / Inventory
cmms_inv_mst,FK_CMMS_INV_MST_CMMS_DEVICE_SPARES_MST,INDEX,INV_INTLSPARESID,YES,ADD KEY `FK_CMMS_INV_MST_CMMS_DEVICE_SPARES_MST` (`INV_INTLSPARESID`),Procurement / AMC / Inventory
cmms_jobcard_attendedby_dtl,PRIMARY,PRIMARY,JMA_SECTIONJOBNO|JMA_USERID|JMA_ISAWAITING,NO,"ADD PRIMARY KEY (`JMA_SECTIONJOBNO`,`JMA_USERID`,`JMA_ISAWAITING`)",Job Cards
cmms_jobcard_attendedby_dtl,FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_EMP_MST,INDEX,JMA_USERID,YES,ADD KEY `FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_EMP_MST` (`JMA_USERID`),Job Cards
cmms_jobcard_awaitinginfo,PRIMARY,PRIMARY,JobcardNumber,NO,ADD PRIMARY KEY (`JobcardNumber`),Job Cards
cmms_jobcard_cal_adjustments_dtl,PRIMARY,PRIMARY,JCAD_JobCardNo|JCAD_Parameter|JCAD_TestValue,NO,"ADD PRIMARY KEY (`JCAD_JobCardNo`,`JCAD_Parameter`,`JCAD_TestValue`)",Job Cards
cmms_jobcard_cal_dtl,PRIMARY,PRIMARY,JCD_JobCardNo,NO,ADD PRIMARY KEY (`JCD_JobCardNo`),Job Cards
cmms_jobcard_cal_observations,PRIMARY,PRIMARY,JobcardNumber|TaskID,NO,"ADD PRIMARY KEY (`JobcardNumber`,`TaskID`)",Job Cards
cmms_jobcard_cal_observations,FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_TASK_MST,INDEX,TaskID,YES,ADD KEY `FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_TASK_MST` (`TaskID`),Job Cards
cmms_jobcard_contract_warranty_dtl,PRIMARY,PRIMARY,CWD_JobCardNo,NO,ADD PRIMARY KEY (`CWD_JobCardNo`),Job Cards
cmms_jobcard_eq_used,PRIMARY,PRIMARY,JEU_JobCardNo|JEU_EquipType|JEU_EquipId,NO,"ADD PRIMARY KEY (`JEU_JobCardNo`,`JEU_EquipType`,`JEU_EquipId`)",Job Cards
cmms_jobcard_eq_used,FK_CMMS_JOBCARD_EQ_USED_CMMS_EQIP_MST,INDEX,JEU_EquipType|JEU_EquipId,YES,"ADD KEY `FK_CMMS_JOBCARD_EQ_USED_CMMS_EQIP_MST` (`JEU_EquipType`,`JEU_EquipId`)",Job Cards
cmms_jobcard_faulty_category,PRIMARY,PRIMARY,JobcardNumber|FaultyType|FaultyCategory,NO,"ADD PRIMARY KEY (`JobcardNumber`,`FaultyType`,`FaultyCategory`)",Job Cards
